filename,extension,file_size_kb,target_folder
CS101_Lecture_1_notes.pdf,.pdf,7320,Documents/College
CS101_Lecture_2_notes.pdf,.pdf,910,Documents/College
CS101_Lecture_3_notes.pdf,.pdf,5440,Documents/College
CS101_Lecture_4_notes.pdf,.pdf,5241,Documents/College
CS101_Lecture_5_notes.pdf,.pdf,5784,Documents/College
CS101_Lecture_6_notes.pdf,.pdf,6315,Documents/College
CS101_Lecture_7_notes.pdf,.pdf,516,Documents/College
CS101_Lecture_8_notes.pdf,.pdf,4476,Documents/College
CS101_Lecture_9_notes.pdf,.pdf,5628,Documents/College
CS101_Lecture_10_notes.pdf,.pdf,8372,Documents/College
CS101_Lecture_11_notes.pdf,.pdf,1735,Documents/College
CS101_Lecture_12_notes.pdf,.pdf,819,Documents/College
CS101_Lecture_13_notes.pdf,.pdf,6999,Documents/College
CS101_Lecture_14_notes.pdf,.pdf,2483,Documents/College
CS101_Lecture_15_notes.pdf,.pdf,5361,Documents/College
CS101_Lecture_16_notes.pdf,.pdf,5101,Documents/College
CS101_Lecture_17_notes.pdf,.pdf,6470,Documents/College
CS101_Lecture_18_notes.pdf,.pdf,1234,Documents/College
CS101_Lecture_19_notes.pdf,.pdf,4605,Documents/College
Math201_Homework_1.docx,.docx,3435,Documents/College
Math201_Homework_2.docx,.docx,6446,Documents/College
Math201_Homework_3.docx,.docx,8716,Documents/College
Math201_Homework_4.docx,.docx,9324,Documents/College
Math201_Homework_5.docx,.docx,2608,Documents/College
Math201_Homework_6.docx,.docx,7899,Documents/College
Math201_Homework_7.docx,.docx,2097,Documents/College
Math201_Homework_8.docx,.docx,2797,Documents/College
Math201_Homework_9.docx,.docx,9217,Documents/College
Math201_Homework_10.docx,.docx,239,Documents/College
Math201_Homework_11.docx,.docx,2784,Documents/College
Math201_Homework_12.docx,.docx,3055,Documents/College
Math201_Homework_13.docx,.docx,4708,Documents/College
Math201_Homework_14.docx,.docx,1949,Documents/College
Math201_Homework_15.docx,.docx,7784,Documents/College
Math201_Homework_16.docx,.docx,1317,Documents/College
Math201_Homework_17.docx,.docx,1578,Documents/College
Math201_Homework_18.docx,.docx,3606,Documents/College
Math201_Homework_19.docx,.docx,3940,Documents/College
Invoice_Payment_Receipt_1.pdf,.pdf,8888,Documents/Finance
Invoice_Payment_Receipt_2.pdf,.pdf,5443,Documents/Finance
Invoice_Payment_Receipt_3.pdf,.pdf,8842,Documents/Finance
Invoice_Payment_Receipt_4.pdf,.pdf,8483,Documents/Finance
Invoice_Payment_Receipt_5.pdf,.pdf,7563,Documents/Finance
Invoice_Payment_Receipt_6.pdf,.pdf,2662,Documents/Finance
Invoice_Payment_Receipt_7.pdf,.pdf,7091,Documents/Finance
Invoice_Payment_Receipt_8.pdf,.pdf,9605,Documents/Finance
Invoice_Payment_Receipt_9.pdf,.pdf,6285,Documents/Finance
Invoice_Payment_Receipt_10.pdf,.pdf,5536,Documents/Finance
